Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
6,Sedan,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
Focus,Hatchback,Riyadh,Ford,Automatic,Saudi,Standard,2012,1.6,181,15000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
Land Cruiser 70,SUV,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,86852,109000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2009,5.4,360,32000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,160000,100000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,30000,194500
3,Sedan,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,31000,54000
Camry,Sedan,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
ES,Sedan,Riyadh,Lexus,Automatic,Other,Full,2018,3.5,66000,139000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,56000
The 5,Sedan,Jubail,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,16000,145000
CT-S,Sedan,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
Malibu,Sedan,Jeddah,Chevrolet,Automatic,Other,Semi Full,2013,2.5,220000,21000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,166000,43000
LX,SUV,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,220000,180000
C,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,3.6,122102,53500
QX,SUV,Dammam,INFINITI,Automatic,Saudi,Full,2016,5.6,185000,119000
Seven,Sedan,Riyadh,Changan,Automatic,Saudi,Standard,2021,1.5,11000,32500
Blazer,SUV,Wadi Dawasir,Chevrolet,Automatic,Saudi,Full,2008,3.6,128000,15000
C300,Sedan,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2018,5.7,49000,135000
Taurus,Sedan,Taef,Ford,Automatic,Saudi,Standard,2011,3.5,22000,50000
Taurus,Sedan,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,132000,65000
H1,Van,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,209677,47500
The 7,Sedan,Riyadh,BMW,Automatic,Gulf Arabic,Full,2019,2.0,6000,335000
Taurus,Sedan,Riyadh,Ford,Automatic,Other,Full,2016,3.5,91815,86000
Tucson,SUV,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,124000,58500
Rav4,SUV,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,163000,69500
Sunny,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,24000
Sonata,Sedan,Qassim,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,52000
Impala,Sedan,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
Innova,MPV,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,226000,45000
The M,Sedan,Dammam,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,1600,135000
CX9,SUV,Taef,Mazda,Automatic,Saudi,Full,2015,2.5,234000,57000
Yukon,SUV,Jeddah,GMC,Automatic,Other,Full,2020,5.3,63860,175000
Accord,Sedan,Riyadh,Honda,Automatic,Saudi,Full,2017,2.4,139806,71500
Accord,Sedan,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
Cadenza,Sedan,Riyadh,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
Camaro,Sports Car,Riyadh,Chevrolet,Automatic,Other,Full,2017,2.0,81633,120000
Suburban,SUV,Riyadh,GMC,Automatic,Other,Standard,2004,1.1,212,14000
Genesis,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,90000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,43000,30000
Taurus,Sedan,Khobar,Ford,Automatic,Saudi,Semi Full,2011,3.5,281000,29500
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,42000
Fusion,Sedan,Al-Ahsa,Ford,Automatic,Saudi,Standard,2016,2.5,80000,50000
Grand Cherokee,SUV,Khobar,Jeep,Automatic,Saudi,Full,2020,3.6,52000,162000
Prado,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
Sonata,Sedan,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
Camry,Sedan,Dammam,Toyota,Automatic,Saudi,Full,2020,3.5,26000,126000
Cerato,Sedan,Qassim,Kia,Automatic,Saudi,Semi Full,2016,1.6,12100,30000
